application/rate_limit_status	getRateLimitStatus	180	180
favorites/list	getFavorites	15	15
followers/ids	getFollowersIDs	15	15
followers/list	getFollowersList	15	30
friends/ids	getFriendsIDs	15	15
friends/list	getFriendsList	15	30
friendships/show	showFriendship	180	15
help/configuration	getAPIConfiguration	15	15
help/languages	getLanguages	15	15
help/privacy	getPrivacyPolicy	15	15
help/tos	getTermsOfService	15	15
lists/list	getUserLists	15	15
lists/members	getUserListMembers	180	15
lists/members/show	showUserListMembership	15	15
lists/memberships	getUserListMemberships	15	15
lists/ownerships	getUserListsOwnerships	15	15
lists/show	showUserList	15	15
lists/statuses	getUserListStatuses	180	180
lists/subscribers	getUserListSubscribers	180	15
lists/subscribers/show	showUserListSubscription	15	15
lists/subscriptions	getUserListSubscriptions	15	15
search/tweets	search	180	450
statuses/lookup	lookup	180	60
statuses/retweeters/ids	getRetweeterIds	15	60
statuses/retweets/:id	getRetweets	15	60
statuses/show/:id	showStatus	180	180
statuses/user_timeline	getUserTimeline	180	300
trends/available	getAvailableTrends	15	15
trends/closest	getClosestTrends	15	15
trends/place	getPlaceTrends	15	15
users/lookup	lookupUsers	180	60
users/show	showUser	180	180
users/suggestions	getSuggestedUserCategories	15	15
users/suggestions/:slug	getUserSuggestions	15	15
users/suggestions/:slug/members	getMemberSuggestions	15	15
*	*	15	15
